record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG_W,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG_W,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG_W,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG_W,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG_W,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
45,NorsemanII_Oct2062,10/19/2018,15:00:33,10/19/2018,8:00:33, 47 42.17 N, 122 27.21 W,47.7028,-122.4535,28,3,,50.43,50.005,12.1208,,2,,30.7335,,2,,23.2567,,5.2675,,5.2675,2,,,,,,,9,missing titration,,,,,,,,,,,9,0.2027,,,,,,,,,2108.5,2,2055.7,2,
46,NorsemanII_Oct2063,10/19/2018,15:01:49,10/19/2018,8:01:49, 47 42.17 N, 122 27.21 W,47.7028,-122.4535,28,4,,20.531,20.359,12.4876,,2,,30.5836,,2,,23.0719,,5.8582,,5.8582,2,,,,,,,9,missing titration,,,,,,22.161,0.419,0.832,2.251,42.405,2,0.683,,,,,,,,,2100,2,2047.7,2,
47,NorsemanII_Oct2064,10/19/2018,15:02:15,10/19/2018,8:02:15, 47 42.17 N, 122 27.21 W,47.7028,-122.4535,28,5,,10.402,10.315,12.5973,,2,,30.5437,,2,,23.0201,,6.2072,,6.2072,2,,,,,,,9,missing titration,,,,,,20.759,0.412,0.392,2.159,41.031,2,1.6195,,,,,,,,,2097.6,2,2033.9,2,
48,NorsemanII_Oct2065,10/19/2018,15:02:38,10/19/2018,8:02:38, 47 42.17 N, 122 27.21 W,47.7028,-122.4535,28,6,,1.475,1.463,12.6608,,2,,30.4275,,2,,22.918,,6.8318,,6.8318,2,,,,,,,9,missing titration,,,,,,20.159,0.429,0.325,2.104,42.267,2,2.5128,,,,,,,,,2095.7,2,2024.1,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
